"source_file","page","list_title","document_notes","location_group","section","producer","item","ano","qty","posicion","raw_line"
"tasca fina 18 de febrero.pdf","1","tasca fina 18 de febrero","","","BLANCOS NACIONALES","","A pedreira","2024","2","CAV 4 - 1 DER","A pedreira | 2024 | 2 | CAV 4 - 1 DER"
"tasca fina 18 de febrero.pdf","1","tasca fina 18 de febrero","","","BLANCOS NACIONALES","","Abadia da Cova Lola","2024","1","CAV 4 - 3 DER","Abadia da Cova Lola | 2024 | 1 | CAV 4 - 3 DER"
"tasca fina 18 de febrero.pdf","1","tasca fina 18 de febrero","","","BLANCOS NACIONALES","","Abadía da Cova Pedras Líquidas","2023","1","CAV 4 - 3 DER","Abadía da Cova Pedras Líquidas | 2023 | 1 | CAV 4 - 3 DER"
"tasca fina 18 de febrero.pdf","1","tasca fina 18 de febrero","","","BLANCOS NACIONALES","","Abadia Retuerta Le Domaine","2018","2","CAV 4 - 2 DER","Abadia Retuerta Le Domaine | 2018 | 2 | CAV 4 - 2 DER"
"tasca fina 18 de febrero.pdf","1","tasca fina 18 de febrero","","","BLANCOS NACIONALES","","Abel Mendoza Viura","2024","2","CAV 3 - 3 IZQ","Abel Mendoza Viura | 2024 | 2 | CAV 3 - 3 IZQ"
"tasca fina 18 de febrero.pdf","1","tasca fina 18 de febrero","","","BLANCOS NACIONALES","","Arenas de Santyuste","2023","2","CAV 3 - 2 IZQ","Arenas de Santyuste | 2023 | 2 | CAV 3 - 2 IZQ"
"tasca fina 18 de febrero.pdf","1","tasca fina 18 de febrero","","","BLANCOS NACIONALES","","As Sortes","2024","2","CAV 4 -3 IZQ","As Sortes | 2024 | 2 | CAV 4 -3 IZQ"
"tasca fina 18 de febrero.pdf","1","tasca fina 18 de febrero","","","BLANCOS NACIONALES","","Attis Atalante","2023","1","CAV 4 - 1 DER","Attis Atalante | 2023 | 1 | CAV 4 - 1 DER"
"tasca fina 18 de febrero.pdf","1","tasca fina 18 de febrero","","","BLANCOS NACIONALES","","Attis Lias Finas","2024","4","CAV 2 - 4 CEN","Attis Lias Finas | 2024 | 4 | CAV 2 - 4 CEN"
"tasca fina 18 de febrero.pdf","1","tasca fina 18 de febrero","","","BLANCOS NACIONALES","","Attis Mar","2024","2","CAV 4 - 1 CEN","Attis Mar | 2024 | 2 | CAV 4 - 1 CEN"
"tasca fina 18 de febrero.pdf","1","tasca fina 18 de febrero","","","BLANCOS NACIONALES","","Augalevada Areas de Rei","2023","2","","Augalevada Areas de Rei | 2023 | 2"
"tasca fina 18 de febrero.pdf","1","tasca fina 18 de febrero","","","BLANCOS NACIONALES","","Avancia","2024","2","CAV 4 - 3 CEN","Avancia | 2024 | 2 | CAV 4 - 3 CEN"
"tasca fina 18 de febrero.pdf","1","tasca fina 18 de febrero","","","BLANCOS NACIONALES","","Barco del Corneta","2023","2","CAV 3 - 2 DER","Barco del Corneta | 2023 | 2 | CAV 3 - 2 DER"
"tasca fina 18 de febrero.pdf","1","tasca fina 18 de febrero","","","BLANCOS NACIONALES","","Belondrade y Lurton","2023","1","CAV 3 - 2 CEN","Belondrade y Lurton | 2023 | 1 | CAV 3 - 2 CEN"
