pod,descripcion,ano,bodega_produtor,unidades_bodega,localizacion_bodega
POD017454,Le Moine Bonnes Mares 22-,2022,Lucien Le Moine,2,CAVA 5 · BALDA 5 · D
POD017455,Le Moine Corton Charlemagne 22-,2022,Lucien Le Moine,3,CAVA 8 · BALDA 4 · CEN
POD017457,Le Moine Charmes Chambert GC 22-,2022,Lucien Le Moine,1,CAVA 5 · BALDA 7 · DER
POD017459,Le Moine Chambolle Hauts Doix 22-,2022,Lucien Le Moine,1,CAVA 4 · BALDA 5 · A
POD017468,Le Moine Latricieres Chamber 22-,2022,Lucien Le Moine,3,CAVA 5 · BALDA 6 · CEN
POD017494,Kistler Les Noisetiers BL 22-,2022,Kistler,2,CAVA 8 · BALDA 1 · DER
POD017496,Kistler Sonoma Coast TO 22-,2022,Kistler,3,CAVA 2 · BALDA 1
POD017499,Sandhi Santa Rita Hills TO 22-,2022,Sandhi,2,CAVA 8 · BALDA 4 · IZQ
POD017504,Sine Qua Non Distenta III Syr 21-,2021,Sine Qua Non,2,CAVA 5 · BALDA 4
POD017551,Prieure Roch Le Clos Goillote 17-,2017,Prieure-Roch,1,CAVA 5 · BALDA 2 · CEN
POD017553,La Joie 13-,2013,Verité,2,CAVA 2 · BALDA 2
POD017557,Rousseau Chambertin 17-,2017,Armand Rousseau,1,CAVA 5 · BALDA 5 · B
POD017576,Leflaive Bienvenues Batard Montrachet 22-,2022,Domaine Leflaive,2,CAVA 8 · BALDA 5 · B
POD017577,Leflaive Batard Montrachet 22-,2022,Domaine Leflaive,3,CAVA 8 · BALDA 3 · IZQ
POD017578,Leflaive Puligny 1C Les Pucelles 21-,2021,Domaine Leflaive,2,CAVA 8 · BALDA 6 · DER
POD017588,Pignan Chateauneuf 11-,2011,Château Rayas,2,CAVA 6 · BALDA 4 · E
POD017651,Clos de Tart Morey St Denis 2022-,2022,Clos de Tart,4,CAVA 4 · BALDA 6 · DER
POD017727,Prieure Roch Chamber Cl Beze 22-,2022,Prieure-Roch,2,CAVA 5 · BALDA 2 · IZQ
POD017728,Prieure Roch G Ch 1C Clos Varoilles 22-,2022,Prieure-Roch,3,CAVA 4 · BALDA 5 · D
POD017730,Prieure Roch Clos Vougeot 22-,2022,Prieure-Roch,2,CAVA 5 · BALDA 2 · CEN
POD017731,Prieure Roch Le Clos Goillote 22-,2022,Prieure-Roch,3,CAVA 5 · BALDA 7 · CEN
POD017734,P Roch Ladoix Le Cloud BL 22-,2022,Prieure-Roch,6,CAVA 10 · BALDA 4 · C
POD017785,Roumier Chambolle 1C Les Cras 15-,2015,Georges Roumier,1,CAVA 4 · BALDA 5 · A
POD017793,Rousseau Gevrey 1C Clos St Jacques 08-,2008,Armand Rousseau,1,CAVA 5 · BALDA 5 · D
POD017821,Chapoutier Ermitage L'Oree 22-,2022,Michel Chapoutier,2,CAVA 10 · BALDA 4 · A / CAVA 10 · BALDA 5 · CEN
POD017825,Chapoutier La Mordoree 22-,2022,Michel Chapoutier,2,CAVA 6 · BALDA 6 · IZQ
POD017913,Ragnaie Rosso Di Montalcino 21-,2021,Ragnaie,3,CAVA 12 · BALDA 1 · CEN
POD017915,Ragnaie Brunello Montalcino 20-,2020,Ragnaie,6,CAVA 11 · BALDA 1 · DER / CAVA 11 · BALDA 4 · IZQ / CAVA 12 · BALDA 1 · IZQ
POD017917,Le Ragnaie Lume Spento 20-,2020,Ragnaie,3,CAVA 11 · BALDA 1 · CEN
POD017925,Lignier Gevrey Regnard 22 -,2022,Hubert Lignier,2,CAVA 4 · BALDA 6 · IZQ
POD017933,Sine Qua Non Rattrapante 12-,2012,Sine Qua Non,2,CAVA 6 · BALDA 3
POD017959,Les Pagodes de Cos Saint Estephe 22-,2022,Château Cos d´Estournel,1,CAVA 10 · BALDA 4 · E
POD018000,Pavillon Blanc Ch Margaux 22-,2022,Château Margaux,4,CAVA 10 · BALDA 4 · E
POD018067,il Marroneto Brunello 20-,2020,il Marroneto,2,CAVA 11 · BALDA 1 · IZQ
POD018071,Luisin Langhe Nebbiolo 22-,2022,Cascina Luisin,4,CAVA 9 · BALDA 5 · C
POD018074,Luisin Barbaresco Rabaja 20-,2020,Cascina Luisin,3,CAVA 9 · BALDA 5 · D
POD018181,Dal Forno Romano Valpolicella Superio 18-,2018,Dal Forno Romano,3,CAVA 12 · BALDA 4 · DER
POD018218,Gravner Ribolla 15-,2015,Gravner,3,CAVA 10 · BALDA 7 · CEN
POD018291,Savage White 23-,2023,Savage,2,CAVA 10 · BALDA 3 · DER
POD018316,Tramin Pinot Grigio Classic 24-,2024,Tramin,2,CAVA 10 · BALDA 7 · CEN
POD018348,Kongsgaard Chardonnay 22-,2022,Kongsgaard,3,CAVA 8 · BALDA 2 · IZQ
POD018351,Mayacamas Chardonnay 22-,2022,Mayacamas,3,CAVA 8 · BALDA 2 · CEN
POD018353,Grivot Bourgogne TO 22-,2022,Domaine Jean Grivot,2,CAVA 4 · BALDA 7 · DER
POD018354,Grivot Chambolle Comb Orveau 22--,2022,Domaine Jean Grivot,1,CAVA 4 · BALDA 5 · C
POD018355,Grivot Clos de Vougeot 22-,2022,Domaine Jean Grivot,3,CAVA 5 · BALDA 3 · IZQ / CAVA 5 · BALDA 5 · B / CAVA 5 · BALDA 6 · IZQ
POD018358,Grivot Vosne 1C Aux Brulees 22-,2022,Domaine Jean Grivot,1,CAVA 4 · BALDA 5 · C
POD018360,P Girardin Batard Montrachet 23-,2023,Pierre Vincent Girardin,6,CAVA 8 · BALDA 3 · DER
POD018364,P Girardin Corton Charlemag 23-,2023,Pierre Vincent Girardin,3,CAVA 8 · BALDA 4 · CEN
POD018366,P Girardin Meurs Perrieres 23-,2023,Pierre Vincent Girardin,3,CAVA 7 · BALDA 3 · IZQ
POD018398,Trediberri Barolo Berri 21-,2021,Trediberri,3,CAVA 9 · BALDA 6 · DER
POD018408,Cascina Rose Bar Tre Stelle 22-,2022,Cascina delle Rose,3,CAVA 9 · BALDA 3 · IZQ
POD018410,Cascina Rose Barb Marcorino 22-,2022,Cascina delle Rose,1,CAVA 9 · BALDA 3 · CEN
POD018439,Scavino Barolo Bric Fiasc 20-,2020,Paolo Scavino,3,CAVA 9 · BALDA 6 · CEN
POD018440,Scavino Barolo 20-,2020,Paolo Scavino,5,CAVA 9 · BALDA 6 · CEN
POD018475,Chateau Rayas TO 09-,2009,Château Rayas,1,CAVA 6 · BALDA 4 · E
POD018625,Francois Carillon Puligny Enseigneres 23-,2023,François Carillon,3,CAVA 8 · BALDA 8 · CEN
POD018720,Lepetit Meursault Perchots 23-,2023,Antoine Lepetit,3,CAVA 7 · BALDA 6 · CEN
POD018721,Lepetit Pommard 23-,2023,Domaine Antoine Lepetit,2,CAVA 4 · BALDA 8 · IZQ
POD018776,Rebourseau Gevrey Chambertin 23-,2023,Henri Rebourseau,2,CAVA 4 · BALDA 6 · DER
