source_file,producer,item,ano_raw,best_pod,best_score,final_pod,final_kind,reason
222 borgoña_blancos.pdf,Vincent Girardin,Montrachet (Grand Cru),2022,POD013303,0.768,POD_TEMP_BM2_0026,temp_pod,best_pod_conflict
222 borgoña_blancos.pdf,Vincent Girardin,Puligny-Montrachet 1er Cru Les Referts,2023,POD019361,0.7713,POD_TEMP_BM2_0027,temp_pod,best_pod_conflict
222 borgoña_blancos.pdf,Vincent Girardin,Puligny-Montrachet Vieilles Vignes,2023,POD019351,0.7601,POD019351,existing_pod,score_ok_no_conflict
222 borgoña_tintos.pdf,Michel Lafarge,Volnay,2022,POD017406,0.681,POD017406,existing_pod,score_ok_no_conflict
222 borgoña_tintos.pdf,Pernot,Gevrey-Chambertin,2022,POD015909,0.6938,POD_TEMP_BM2_0028,temp_pod,best_pod_conflict
222 borgoña_tintos.pdf,Prieuré Roch,Latricières-Chambertin (Grand Cru),2022,POD017727,0.7843,POD_TEMP_BM2_0029,temp_pod,best_pod_conflict
222 borgoña_tintos.pdf,des Perdrix,Bourgogne,2023,POD019302,0.7105,POD019302,existing_pod,score_ok_no_conflict
222 borgoña_tintos.pdf,D. L’Arlot,Romanée-Saint-Vivant (Grand Cru),2023,POD019284,0.6135,POD_TEMP_BM2_0030,temp_pod,low_score
222 borgoña_tintos.pdf,D. de l’Arlot,Nuits-Saint-Georges 1er Cru Clos de l’Arlot,2023,POD019282,0.5761,POD_TEMP_BM2_0031,temp_pod,best_pod_conflict
222 borgoña_tintos.pdf,D. de l’Arlot,Nuits-Saint-Georges 1er Cru Clos des Forêts Saint Georges,2022,POD012515,0.6005,POD_TEMP_BM2_0032,temp_pod,low_score
222 borgoña_tintos.pdf,DRC,Grands-Échezeaux,2019,POD010182,0.3246,POD_TEMP_BM2_0033,temp_pod,best_pod_conflict
222 borgoña_tintos.pdf,DRC,Romanée-Saint-Vivant,2019,POD010182,0.33,POD_TEMP_BM2_0034,temp_pod,best_pod_conflict
222 borgoña_tintos.pdf,DRC,Vosne-Romanée 1er Cru Les Petits Monts,2019,POD010182,0.3415,POD_TEMP_BM2_0035,temp_pod,best_pod_conflict
222 borgoña_tintos.pdf,Henri Magnien / François Thurot,Côte de Nuits (entrada tal como figura),2022,POD013335,0.585,POD_TEMP_BM2_0036,temp_pod,low_score
222 borgoña_tintos.pdf,Hubert Lignier,Chambolle-Musigny 1er Cru Les Amoureuses,2015,POD012412,0.4852,POD_TEMP_BM2_0037,temp_pod,low_score
222 borgoña_tintos.pdf,Jean Grivot,Bourgogne ‘Cuvée Jeunesse’,2023,POD018353,0.6032,POD_TEMP_BM2_0038,temp_pod,low_score
222 borgoña_tintos.pdf,Jean Grivot,Nuits-Saint-Georges ‘Les Fleuries’,2023,POD018359,0.5558,POD_TEMP_BM2_0039,temp_pod,best_pod_conflict
222 borgoña_tintos.pdf,Le Puy de l’Ours,Les Follettes,2023,POD018161,0.4863,POD_TEMP_BM2_0040,temp_pod,low_score
222 borgoña_tintos.pdf,Les Terres de Philéandre,Savigny-lès-Beaune 1er Cru Les Serpentières,2022,POD017374,0.471,POD_TEMP_BM2_0041,temp_pod,best_pod_conflict
222 borgoña_tintos.pdf,Pacalet,Chambertin (Grand Cru),2019,POD015903,0.465,POD_TEMP_BM2_0042,temp_pod,low_score
222 borgoña_tintos.pdf,Pacalet,Chambertin Clos de Bèze (Grand Cru),2019,POD011380,0.4992,POD_TEMP_BM2_0043,temp_pod,low_score
222 borgoña_tintos.pdf,Pacalet,Chapelle-Chambertin (Grand Cru),2019,POD018038,0.4573,POD_TEMP_BM2_0044,temp_pod,low_score
222 borgoña_tintos.pdf,Pacalet,Charmes-Chambertin (Grand Cru),2019,POD009367,0.4491,POD_TEMP_BM2_0045,temp_pod,low_score
222 borgoña_tintos.pdf,Pacalet,Morey-Saint-Denis ‘La Rue de Vergy’,2019,POD_TEMP_1051,0.4893,POD_TEMP_BM2_0046,temp_pod,low_score
222 borgoña_tintos.pdf,Pierre Morey,Meursault,—,POD012516,0.5916,POD_TEMP_BM2_0047,temp_pod,low_score
222 borgoña_tintos.pdf,Armand Rousseau,Ruchottes-Chambertin Clos des Ruchottes (Grand Cru),—,POD017137,0.7554,POD017137,existing_pod,score_ok_no_conflict
222 borgoña_tintos.pdf,Chandon de Briailles,Corton Clos du Roi (Grand Cru),2022,POD013307,0.7271,POD013307,existing_pod,score_ok_no_conflict
222 borgoña_tintos.pdf,Comtes Georges de Vogüé,Chambolle-Musigny 1er Cru Les Amoureuses,—,POD017374,0.7155,POD_TEMP_BM2_0048,temp_pod,best_pod_conflict
222 borgoña_tintos.pdf,D. de l’Arlot,Vosne-Romanée 1er Cru Les Suchots,2022,POD013328,0.6214,POD_TEMP_BM2_0049,temp_pod,low_score
222 borgoña_tintos.pdf,D. de l’Arlot,Vosne-Romanée 1er Cru Les Suchots,2023,POD019282,0.6214,POD_TEMP_BM2_0050,temp_pod,best_pod_conflict
222 borgoña_tintos.pdf,Dujac,Charmes-Chambertin (Grand Cru),2022,POD016852,0.6942,POD016852,existing_pod,score_ok_no_conflict
222 borgoña_tintos.pdf,Dujac,Charmes-Chambertin (Grand Cru),2023,POD019094,0.6942,POD019094,existing_pod,score_ok_no_conflict
222 borgoña_tintos.pdf,Dujac,Gevrey-Chambertin 1er Cru Aux Combottes,2022,POD016853,0.6953,POD016853,existing_pod,score_ok_no_conflict
222 borgoña_tintos.pdf,Dujac,Gevrey-Chambertin 1er Cru Aux Combottes,2023,POD019095,0.6953,POD019095,existing_pod,score_ok_no_conflict
222 borgoña_tintos.pdf,Fourrier,Gevrey-Chambertin 1er Cru Combe Aux Moines,2022,POD017159,0.6801,POD017159,existing_pod,score_ok_no_conflict
222 borgoña_tintos.pdf,G. Roumier,Bonnes-Mares (Grand Cru),2019,POD017786,0.725,POD017786,existing_pod,score_ok_no_conflict
222 borgoña_tintos.pdf,G. Roumier,Morey-Saint-Denis 1er Cru Clos de la Bussière,2013,POD017299,0.7018,POD017299,existing_pod,score_ok_no_conflict
222 borgoña_tintos.pdf,Hubert Lignier,Bourgogne,2022,POD017925,0.6494,POD_TEMP_BM2_0051,temp_pod,best_pod_conflict
222 borgoña_tintos.pdf,Hubert Lignier,Chambolle-Musigny,2022,POD017925,0.6771,POD_TEMP_BM2_0052,temp_pod,best_pod_conflict
222 borgoña_tintos.pdf,Jean Grivot,Nuits-Saint-Georges ‘Les Charmois’,2022,POD018359,0.6563,POD_TEMP_BM2_0053,temp_pod,best_pod_conflict
222 borgoña_tintos.pdf,Jean Grivot,Romanée-Saint-Vivant (Grand Cru),2023,POD019317,0.545,POD_TEMP_BM2_0054,temp_pod,low_score
222 borgoña_tintos.pdf,Jean Grivot,Vosne-Romanée 1er Cru Les Suchots,2022,POD018359,0.713,POD_TEMP_BM2_0055,temp_pod,best_pod_conflict
222 borgoña_tintos.pdf,Jean Grivot,Vosne-Romanée 1er Cru Malconsorts,2022,POD015155,0.6009,POD_TEMP_BM2_0056,temp_pod,low_score
222 borgoña_tintos.pdf,Louis Jadot,Bonnes-Mares (Grand Cru),2022,POD017011,0.7531,POD017011,existing_pod,score_ok_no_conflict
222 borgoña_tintos.pdf,Louis Jadot,Échezeaux (Grand Cru),2022,POD017018,0.7119,POD017018,existing_pod,score_ok_no_conflict
