wine_text,year,qty,location,best_score,best_margin,best_pod,best_desc,best_bodega,best_year
Picarana Dominio del Aguila,2022,1,1·E·D,0.6052,0.0796,POD014777,Picaro del Aguila TO 22-,Picaro del Aguila,2022
Suzanne Bodegas Bhilar,2020,1,1·F·D,0.3045,0.0043,POD016263,Mg Cartago 19-,Bodegas Mauro,2019
Suzanne Bodegas Bhilar,2020,1,1·F·A,0.3045,0.0043,POD016263,Mg Cartago 19-,Bodegas Mauro,2019
Hacienda del Marques Reserva,2020,1,1·G·D,0.5119,0.0076,POD014241,Hacienda Monasterio Rva 20-,Hacienda Monasterio,2020
Hacienda del Marques Reserva,2020,1,1·G·A,0.5119,0.0076,POD014241,Hacienda Monasterio Rva 20-,Hacienda Monasterio,2020
Bodegas Lan Reserva,2021,1,1·H·D,0.4582,0.0141,POD016112,Mg Mauro VS 21-,Bodegas Mauro,2021
Bodegas Lan Reserva,2021,1,1·I·D,0.4582,0.0141,POD016112,Mg Mauro VS 21-,Bodegas Mauro,2021
Malleolus Emilio Moro,2021,1,1·I·A,0.6574,0.1717,POD015579,Malleolus Valderramiro 20-,Emilio Moro,2020
