"nome","anada","bodega","tipo"
"Ch Pichon Comtesse Lalande Pauillac 20-","2020","Château Pichon Longueville Comtesse Lalande","Tinto"
"Ch Pichon Comtesse Lalande Pauillac 21-","2021","Château Pichon Longueville Comtesse Lalande","Tinto"
"Ch Pontet Canet 22-","2022","Château Pontet Canet","Tinto"
"Ch Pontet Canet Pauillac 10-","2010","Château Pontet-Canet","Tinto"
"Ch Pontet Canet Pauillac 18-","2018","Château Pontet-Canet","Tinto"
"Ch Rauzan Segla 10-","2010","Château Rauzan-Ségla","Tinto"
"Ch Rauzan Segla 16-","2016","Château Rauzan-Ségla","Tinto"
"Ch Rauzan Segla 22-","2022","Château Rauzan-Ségla","Tinto"
"Ch Rocheyron 21-","2021","Château Rocheyron","Tinto"
"Ch Rocheyron Saint Emilion 20-","2020","Château Rocheyron","Tinto"
"Ch Smith Haut Lafite 09-","2009","Château Smith Haut Lafite","Tinto"
"Ch Smith Haut Lafite TO 22-","2022","Château Smith Haut Lafite","Tinto"
"Ch Talbot Saint Julien 19-","2019","Château Talbot","Tinto"
"Ch Troplong Mondot 22-","2022","Château Troplong Mondot","Tinto"
"Ch Trotanoy Pomerol 21-","2021","Château Trotanoy","Tinto"
"Ch Valandraud 19-","2019","Château Valandraud","Tinto"
"Ch. Angelus 1ºCru 10-","2010","Château Angélus","Tinto"
"Ch. Angelus 1ºCru 17-","2017","Château Angélus","Tinto"
"Ch. Ausone 2017-","2017","Château Ausone","Tinto"
"Ch. Belair-Monangue 17-","2017","Château Belair-Monange","Tinto"
"Ch. Belair-Monangue 18-","2018","Château Belair-Monange","Tinto"
"Ch. Cheval Blanc 1ºCru. 14-","2014","Château Cheval Blanc","Tinto"
"Ch. Cheval Blanc 1ºCru. 15-","2015","Château Cheval Blanc","Tinto"
"Ch. Cheval Blanc 1ºCru. 17-","2017","Château Cheval Blanc","Tinto"
"Ch. Cheval Blanc 1ºCru. 18-","2018","Château Cheval Blanc","Tinto"
"Ch. Cheval Blanc 1ºCru. 19-","2019","Château Cheval Blanc","Tinto"
"Ch. Cheval Blanc 1ºCru. 98-","1998","Château Cheval Blanc","Tinto"
"Ch. Haut Brion 09-","2009","Château Haut-Brion","Tinto"
"Ch. Haut Brion 18-","2018","Château Haut-Brion","Tinto"
"Ch. La Conseillante 18-","2018","Château La Conseillante","Tinto"
"Ch. Lafite Rothschild 12-","2012","Château Lafite-Rothschild","Tinto"
"Ch. Latour 96-","1996","Château Latour","Tinto"
"Ch. Latour 99-","1999","Château Latour","Tinto"
"Ch. Margaux 1ºCru. 15-","2015","Château Margaux","Tinto"
"Ch. Margaux 1ºCru. 16-","2016","Château Margaux","Tinto"
"Ch. Margaux 1ºCru. 17-","2017","Château Margaux","Tinto"
"Ch. Mouton Rothschild 09-","2009","Château Mouton-Rothschild","Tinto"
"Ch. Mouton Rothschild 10-","2010","Château Mouton-Rothschild","Tinto"
"Ch. Mouton Rothschild 15-","2015","Château Mouton-Rothschild","Tinto"
"Ch. Mouton Rothschild 17-","2017","Château Mouton-Rothschild","Tinto"
"Ch. Palmer 16-","2016","Château Palmer","Tinto"
"Ch. Palmer 17-","2017","Château Palmer","Tinto"
"Ch. Pavie 14-","2014","Château Pavie","Tinto"
"Ch. Pavie 17-","2017","Château Pavie","Tinto"
"Ch. Pavie 18-","2018","Château Pavie","Tinto"
"Ch. Pavie 20-","2020","Château Pavie","Tinto"
"Ch. Pavie 21-","2021","Château Pavie","Tinto"
"Ch. Potensac 22-","2022","Château Potensac","Tinto"
"Ch. Trotanoy 16-","2016","Château Trotanoy","Tinto"
"Ch. Trotanoy 18-","2018","Château Trotanoy","Tinto"
"Clos du Clocher Pomerol 19-","2019","Clos Du Clocher","Tinto"
"Clos Du Clocher Pomerol 21-","2021","Clos Du Clocher","Tinto"
"Clos Fourtet 18-","2018","Clos Fourtet","Tinto"
"Clos Fourtet Saint Emilion GC Classe 19-","2019","Clos Fourtet","Tinto"
"Cos D´Estournel Saint Estephe 21-","2021","Cos d´Estournel","Tinto"
"Cos D'Estournel 10-","2010","Cos d´Estournel","Tinto"
"Cos D'Estournel 17-","2017","Cos d´Estournel","Tinto"
"Cos d'Estournel Saint Estephe 09-","2009","Cos d´Estournel","Tinto"
"Cos d'Estournel Saint Estephe 19-","2019","Cos d´Estournel","Tinto"
"Cos d'Estournel Saint Estephe 20-","2020","Cos d´Estournel","Tinto"
"Cos D'Estournel TO 22-","2022","Cos d´Estournel","Tinto"
"D. Chevalier 15-","2015","Domaine de Chevalier","Tinto"
"Doble Mg Cheval Blanc 09-","2009","Château Cheval Blanc","Tinto"
"Domaine de Chevalier TO 22-","2022","Domaine de Chevalier","Tinto"
"La Clarence de Haut-Brion 18-","2018","Château Haut-Brion","Tinto"
"La Clarence de Haut-Brion 22-","2022","Château Haut-Brion","Tinto"
"La Croix Ducru Beaucaillou 22-","2022","Château Ducru-Beaucaillou","Tinto"
"La Mision Haut Brion 13-","2013","Château La Mission Haut-Brion","Tinto"
"La Mision Haut Brion 14-","2014","Château La Mission Haut-Brion","Tinto"
"La Mision Haut Brion 16-","2016","Château La Mission Haut-Brion","Tinto"
"La Mision Haut Brion 17-","2017","Château La Mission Haut-Brion","Tinto"
"La Mision Haut Brion Pessac Leognan 18-","2018","Château La Mission Haut-Brion","Tinto"
"La Mision Haut Brion Pessac Leognan 20-","2020","Château La Mission Haut-Brion","Tinto"
"La Mision Haut Brion Pessac Leognan 21-","2021","Château La Mission Haut-Brion","Tinto"
"Le Carillon d´Angelus 22-","2022","Château Angélus","Tinto"
"Le Clarence de Haut Brion 22-","2022","Château Haut-Brion","Tinto"
"Le Clarence de Haut Brion Pessac 19-","2019","Château Haut-Brion","Tinto"
"Le Clarence de Haut Brion Pessac 21-","2021","Château Haut-Brion","Tinto"
"Le Petit Mouton 22-","2022","Château Mouton-Rothschild","Tinto"
"Le Pin 19-","2019","Le Pin","Tinto"
"Le Pin 20-","2020","Le Pin","Tinto"
"Le Pin 2018-","2018","Le Pin","Tinto"
"Le Pin 21-","2021","Le Pin","Tinto"
"Les Carmes Haut Brion Pessac Leognan 19-","2019","Château Les Carmes Haut-Brion","Tinto"
"Les Carmes Haut Brion Pessac Leognan 21-","2021","Château Les Carmes Haut-Brion","Tinto"
"Les Forts de Latour Pauillac 00-","2000","Château Latour","Tinto"
"Les Forts de Latour Pauillac 15-","2015","Château Latour","Tinto"
"Les Forts de Latour Pauillac 16-","2016","Château Latour","Tinto"
"Les Pagodes de Cos Saint Estephe-","2021","Château Cos d´Estournel","Tinto"
"Les Pagodes de Cos Saint Estephe 22-","2022","Château Cos d´Estournel","Tinto"
"Mg Ch Angelus Elisabeth Bouchet GC 18-","2018","Château Angélus","Tinto"
"Mg Ch Lafite Rothschild Pauillac 19-","2019","Château Lafite-Rothschild","Tinto"
"Mg Ch Lafite Rothschild Pauillac 20-","2020","Château Lafite-Rothschild","Tinto"
"Mg Ch Leoville Les Cases Saint Julien 09-","2009","Château Léoville-Las Cases","Tinto"
"Mg Ch Lynch Bages 10-","2010","Château Lynch-Bages","Tinto"
"Pavillon Rouge Ch Margaux 22-","2022","Château Margaux","Tinto"
"Petrus Pomerol 21-","2021","Pétrus","Tinto"
"Vieux Ch Certan 22-","2022","Vieux Château Certan","Tinto"
"Pieds Sur Terre Poulsard 23-","2023","Valentin Morel","Tinto"
"Closiers Les Closiers 23-","2023","Domaine des Closiers","Tinto"
"3/8 La Janasse Chateauneuf 23-","2023","Domaine de La Janasse","Tinto"
"Clape Cotes Du Rhone 23-","2023","Auguste Clape","Tinto"
"G Vernay St Agathe Syrah 23-","2023","Georges Vernay","Tinto"
"Herve Souhaut La Souteronne 23-","2023","Herve Souhaut","Tinto"
"La Janasse Chateauneuf 23-","2023","Domaine de La Janasse","Tinto"
"Le Vieux Donjon Chateauneuf 23-","2023","Le Vieux Donjon","Tinto"
"Mont Olivet Chateauneuf 23-","2023","Clos du Mont-Olivet","Tinto"
"Mont Olivet Chateauneuf Papet 23-","2023","Clos du Mont-Olivet","Tinto"
"Cascina delle Rose Langhe Nebbiolo 23-","2023","Cascina delle Rose","Tinto"
"Cascina Rose Langhe Nebb 24-","2024","Cascina delle Rose","Tinto"
"Ferdinando Principiano Langhe 24-","2024","Ferdinando Principiano","Tinto"
"Trediberri Langhe Nebbiolo 24-","2024","Trediberri","Tinto"
"Terre Nere Santo Espirito TO 23-","2023","Terre Nere","Tinto"
"Col D'Orcia Rosso Montalcino 23-","2023","Col d´Orcia","Tinto"
"Gianni Brunelli Rosso Montalcino 23-","2023","Gianni Brunelli","Tinto"
"Le Chiuse Rosso Montalcino 23-","2023","Le Chiuse","Tinto"
"Massetino 22-","2022","Masseto","Tinto"
"Ornellaia 21-","2021","Ornellaia","Tinto"
"Sassicaia 21-","2021","Tenuta San Guido","Tinto"
"Solaia 21-","2021","Antinori","Tinto"
"Tenuta San Guido Guidalberto 23-","2023","Tenuta San Guido","Tinto"
"Tignanello 22-","2022","Tenuta Tignanello","Tinto"
"Savage Follow the Line 23-","2023","Savage","Blanco"
"Filipa Pato & William Wouters DNMC Baga 23-","2023","Filipa Pato & William Wouters","Tinto"
"R Kershaw Smuggler´s Boot 23-","2023","Richard Kershaw","Tinto"
"Savage Thief in the Night 23-","2023","Savage","Tinto"
"Savage Tinto 2023","2023","Savage","Tinto"
"Domaine Muzard Tinto 2023","2023","Domaine Muzard","Tinto"
"Mauro Tinto 2023","2023","Mauro","Tinto"
"4 Kilos Tinto 2023","2023","4 Kilos","Tinto"
"#N/D","2022","Penfolds","Tinto"
"Cuarto Lagar Tinto (en blanco)","(en blanco)","Cuarto Lagar","Tinto"
"Dominio de Atauta Tinto (en blanco)","(en blanco)","Dominio de Atauta","Tinto"
"Opus One Tinto 2022","2022","Opus One","Tinto"
"Domaine Bart Tinto 2023","2023","Domaine Bart","Tinto"
"Château Ausone Tinto 2022","2022","Château Ausone","Tinto"
"Château Figeac Tinto 2022","2022","Château Figeac","Tinto"
"Château Haut-Brion Tinto 2022","2022","Château Haut-Brion","Tinto"
"Château Pavie Tinto 2022","2022","Château Pavie","Tinto"
"Valentin Morel Blanco 2022","2022","Valentin Morel","Blanco"
"Isabel Ferrando Tinto 2023","2023","Isabel Ferrando","Tinto"
"La Colombera  Blanco 2024","2024","La Colombera ","Blanco"
"[TEMP] Bouzeron 22-","2022","Domaine de Villaine","Blanco"
"[TEMP] Fourchaume 1er Cru 22-","2022","Arnaud Ente","Blanco"
"[TEMP] Montmains 1er Cru 22-","2022","Arnaud Ente","Blanco"
"[TEMP] Montée de Tonnerre 1er Cru 22-","2022","Arnaud Ente","Blanco"
"[TEMP] Tête d’Or 22-","2022","Arnaud Ente","Blanco"
"[TEMP] Tête d’Or (1.5L) 22-","2022","Arnaud Ente","Blanco"
"[TEMP] Meursault Clos des Écoles 22-","2022","Hospices de Beaune","Blanco"
"[TEMP] Savigny-lès-Beaune Les Goudelettes 23-","2023","Le Puy de l’Ours","Blanco"
"[TEMP] Chassagne-Montrachet 1er Cru Morgeot 22-","2022","Marquis de Laguiche","Blanco"
"[TEMP] Montrachet (Grand Cru) 22-","2022","Marquis de Laguiche","Blanco"
"[TEMP] Pernand-Vergelesses 23-","2023","Si tu Sais","Blanco"
"[TEMP] Meursault Genevrières 1er Cru 22-","2022","Arnaud Ente","Blanco"
"[TEMP] Meursault Genevrières 1er Cru BL-","","Arnaud Ente","Blanco"
"[TEMP] Chassagne-Montrachet 1er Cru Clos Saint-Marc 23-","2023","Domaine Leflaive","Blanco"
"[TEMP] Saint-Aubin 1er Cru Sur le Sentier du Clou 23-","2023","Lucien Muzard","Blanco"
"[TEMP] Corton-Charlemagne (Grand Cru) 22-","2022","Marquis de Laguiche","Blanco"
"[TEMP] Montrachet (Grand Cru) BL-","","Marquis de Laguiche","Blanco"
"[TEMP] Puligny-Montrachet 1er Cru Champ Gain 23-","2023","Pierre Morey","Blanco"
"[TEMP] Meursault Vieilles Vignes 23-","2023","Vincent Girardin","Blanco"
"[TEMP] Puligny-Montrachet 1er Cru Les Referts 23-","2023","Vincent Girardin","Blanco"
"[TEMP] Gevrey-Chambertin 22-","2022","Pernot","Tinto"
"[TEMP] Latricières-Chambertin (Grand Cru) 22-","2022","Prieuré Roch","Tinto"
"[TEMP] Romanée-Saint-Vivant (Grand Cru) 23-","2023","D. L’Arlot","Tinto"
"[TEMP] Nuits-Saint-Georges 1er Cru Clos de l’Arlot 23-","2023","D. de l’Arlot","Tinto"
"[TEMP] Nuits-Saint-Georges 1er Cru Clos des Forêts Saint Georges 22-","2022","D. de l’Arlot","Tinto"
"[TEMP] Côte de Nuits (entrada tal como figura) 22-","2022","Henri Magnien / François Thurot","Tinto"
"[TEMP] Bourgogne ‘Cuvée Jeunesse’ 23-","2023","Jean Grivot","Tinto"
"[TEMP] Nuits-Saint-Georges ‘Les Fleuries’ 23-","2023","Jean Grivot","Tinto"
"[TEMP] Les Follettes 23-","2023","Le Puy de l’Ours","Tinto"
"[TEMP] Savigny-lès-Beaune 1er Cru Les Serpentières 22-","2022","Les Terres de Philéandre","Tinto"
"[TEMP] Meursault BL-","","Pierre Morey","Blanco"
"[TEMP] Chambolle-Musigny 1er Cru Les Amoureuses TO-","","Comtes Georges de Vogüé","Tinto"
"[TEMP] Vosne-Romanée 1er Cru Les Suchots 22-","2022","D. de l’Arlot","Tinto"
"[TEMP] Vosne-Romanée 1er Cru Les Suchots 23-","2023","D. de l’Arlot","Tinto"
"[TEMP] Bourgogne 22-","2022","Hubert Lignier","Tinto"
"[TEMP] Chambolle-Musigny 22-","2022","Hubert Lignier","Tinto"
"[TEMP] Nuits-Saint-Georges ‘Les Charmois’ 22-","2022","Jean Grivot","Tinto"
"[TEMP] Vosne-Romanée 1er Cru Malconsorts 22-","2022","Jean Grivot","Tinto"
"[TEMP] Santenay ‘Maladière’ 23-","2023","Lucien Muzard","Blanco"
"[TEMP] Vosne-Romanée 1er Cru Les Chaumes 23-","2023","Pacalet","Tinto"
"[TEMP] Volnay 1er Cru Pitures 23-","2023","Pierre Morey","Tinto"
"[TEMP] Latricières-Chambertin (Grand Cru) 21-","2021","Prieuré Roch","Tinto"
"[TEMP] Vin de France 22-","2022","Prieuré Roch","Tinto"
"[TEMP] Nuits-Saint-Georges 1er Cru Aux Perdrix 22-","2022","des Perdrix","Tinto"
"[TEMP] Nuits-Saint-Georges 1er Cru Aux Perdrix 23-","2023","des Perdrix","Tinto"
"[TEMP] Échezeaux (Grand Cru) 23-","2023","des Perdrix","Tinto"
"[TEMP] Langhe Nebbiolo ‘Rivata’ 23-","2023","Borgogno","Tinto"
"[TEMP] Barbaresco ‘Rabajà’ 20-","2020","Falletto","Tinto"
"[TEMP] Arulej ‘Controcorrente’ 23-","2023","G.D. Vajra","Tinto"
"[TEMP] Brunello di Montalcino 19-","2019","Podere San Giuseppe (Bacia)","Tinto"
"[TEMP] Barbera d’Alba 22-","2022","Falletto","Tinto"
"[TEMP] Bolgheri 19-","2019","Ornellaia","Tinto"
"[TEMP] Bolgheri 21-","2021","Ornellaia","Tinto"
"[TEMP] Bolgheri 22-","2022","Ornellaia","Tinto"
"[TEMP] Sancerre ‘Silex’ 22-","2022","Domaine Delaporte","Blanco"
"[TEMP] Châteauneuf-du-Pape 23-","2023","Isabel Ferrando (Saint Préfert)","Tinto"
"[TEMP] Côte-Rôtie ‘Champin le Seigneur’ 22-","2022","Isabel Ferrando (Saint Préfert)","Tinto"
"[TEMP] Côte-Rôtie ‘Les Grandes Places’ 22-","2022","Isabel Ferrando (Saint Préfert)","Tinto"
"[TEMP] Blanc 20-","2020","Château Fuissé","Blanco"
"[TEMP] L’Oeillet (Le Litre) BL-","","Brand et Fils","Blanco"
"[TEMP] Guardoilvento 22-","2022","Caciorgna","Blanco"
"[TEMP] Blanc 22-","2022","Château Smith Haut Lafitte","Blanco"
"[TEMP] Blanc 18-","2018","Fides (Crimorgat)","Blanco"
"[TEMP] Foglio 1 23-","2023","Filippi","Blanco"
"[TEMP] Blanc 17-","2017","La Croisée des Chenins","Blanco"
"[TEMP] Hermitage Blanc 22-","2022","Taittinger","Blanco"
"[TEMP] Calderara Sottana (Blanc) 23-","2023","Tenuta delle Terre Nere","Blanco"
"[TEMP] Chardonnay 21-","2021","Salem Wine Co.","Blanco"
"[TEMP] Chardonnay – Sonoma County 22-","2022","Ceritas","Blanco"
"[TEMP] Chardonnay 23-","2023","La Source","Blanco"
"[TEMP] Pinot Noir 22-","2022","Seven Springs","Tinto"
"[TEMP] TD-9 Cabernet Sauvignon – Napa Valley 21-","2021","Shafer","Tinto"
"[TEMP] Testa dei Cherubini Grenache 24-","2024","Sine Qua Non","Tinto"
