wine_text,year,qty,location
Cristal Brut Louis Roederer,,3,5·A·A
Collection 246 Louis Roederer,,2,5·A·A
Cristal Rose Louis Roederer,2014,1,5·A·D
Les Perrieres Brut Nature Moutard,,1,5·A·D
Sir Winston Churchill Pol Roger,2018,1,5·A·D
La Colline Inspiree Jacques Lassaigne,,2,5·A·D
Larmandier Bernier,,1,5·B·A
Tarlant,,1,5·B·A
Longitude Premier Cru Larmandier Bernier,,2,5·B·D
Tradition Extra Brut Laherte Freres,,1,5·C·A
Petit Meslier Extra Brut Laherte Freres,,1,5·C·A
Krug Grande Cuvee 170,,1,5·C·A
Krug Grande Cuvee 171,,1,5·C·A
Selosse V O,,2,5·C·D
Trois Clochers Leclerc Briant,,1,5·C·D
Blanc de Meuniers Leclerc Briant,2018,1,5·C·D
Krug Grande Cuvee 173,,1,5·C·D
Andre Heucq Hommage Meunier,,2,5·D·A
Andre Heucq Brut Nature,2012,1,5·D·A
Benoit Lahaye Blanc de Noirs,,1,5·D·A
Jacquesson 747,,1,5·D·D
Bereche Rive Gauche,2015,1,5·D·D
Bereche Brut Reserve,,1,5·D·D
Clos Sainte Sophie Jacques Lassaigne,2013,2,5·E·A
Bollinger Special Cuvee,,1,5·E·D
Pierre Peters L Esprit,2020,2,5·E·D
Selosse Rose,,2,5·F·A
Dom Ruinart Rose,2009,1,5·F·D
Krug Rose,,2,5·F·D
Billecart Salmon Rose,,1,5·F·D
Christophe Mignon,,1,5·F·D
Gosset Grande Reserve,,7,5·BASE
Billecart Salmon Le Reserve,,2,5·BASE
Raventos i Blanc,,1,5·BASE
Andre Heucq Heritage,,1,5·BASE
