wine_text,year,qty,location
Sancerre,,1,3·A·D
Springfield Methode Ancienne Chardonnay,2020,1,3·A·D
Chateau Romassan Rose,2024,1,3·A·D
Source of Joy,2024,1,3·B·D
Doniene Gorrondona Bizkaiko Txakolina,,1,3·C·D
Raats Old Vine Chenin Blanc,2023,1,3·C·D
Dialectica de los Opuestos,,1,3·C·D
Flor de Albihar Rico Nuevo,,1,3·D·D
Cantocuerdas Albillo Bernabeleva,,1,3·D·D
Ponce Blanco Seleccion,,1,3·D·D
Puro Rofe Morro La Virgen Masdache,2023,1,3·E·D
La Lume,2022,1,3·E·D
Bermejo Malvasia Blanco,2024,1,3·E·D
Vidonia Suertes del Marques,2024,1,3·E·A
Finca Trasdairelas Godello Joaquin Rebolledo,,1,3·F·D
Gran Vino Pazo Barrantes Albarino,2022,1,3·F·D
Chivite Coleccion 125 Gran Vino Blanco,2023,1,3·G·D
Whispering Angel,,1,3·G·D
Chateau d Esclans Cotes de Provence Rose,2024,1,3·G·D
Penas Aladas Clarete Dominio del Aguila,2020,1,3·G·D
Motor Blanc 4 Kilos,,1,3·G·D
Primer Blanc Marques de Murrieta,2024,1,3·G·D
Flor de Muga,2023,1,3·H·D
Storm Chardonnay,2023,1,3·H·D
Ratpenat Celler Credo,2021,1,3·H·A
Pouilly Fume MCMLV La Vigne de 1955 Domaine du Bouchot,2022,1,3·H·A
Savage White,2023,1,3·H·A
Primer Rose Marques de Murrieta,2024,1,3·BASE
Sancerre,,1,3·BASE
DeMorgenzon Reserve Chenin Blanc,2022,1,3·BASE
Chateau Peyrassol Rose,,1,3·BASE
Villapanes Emilio Hidalgo,,1,3·BASE
La Panesa Emilio Hidalgo,,1,3·BASE
El Tresillo Emilio Hidalgo,,1,3·BASE
Kumeu River Mates Vineyard Chardonnay,2023,1,3·BASE
Niepoort Vintage Port,2022,1,3·BASE
Graham 10 Year Old Tawny Port,,1,3·BASE
Don PX Cosecha Toro Albala,2023,1,3·BASE
