orden,excel_row,tipo,cava,area,balda,linea,sublinea,es_checklist,entrada_sin_checkbox,vino_sin_cantidad,cantidad,cantidad_raw,nota_post_cantidad,texto_excel,item_id,item_part,item_total_parts,item_entrada_completa,item_vino_sin_cantidad_completo,item_cantidad,item_cantidad_raw,item_nota_post_cantidad
247,289,ITEM,CAVA E,,BALDA 1,,,False,Lacima 2020 Ribera Sacra x1,Lacima 2020 Ribera Sacra,1,x1,,Lacima 2020 Ribera Sacra x1 ,I0198,1,1,Lacima 2020 Ribera Sacra x1,Lacima 2020 Ribera Sacra,1,x1,
248,290,ITEM,CAVA E,,BALDA 1,,,False,San Cucufate 2019 x1,San Cucufate 2019,1,x1,,San Cucufate 2019 x1,I0199,1,1,San Cucufate 2019 x1,San Cucufate 2019,1,x1,
249,291,ITEM,CAVA E,,BALDA 1,,,False,Dominio de Calogia 2021 x3,Dominio de Calogia 2021,3,x3,,Dominio de Calogia 2021 x3,I0200,1,1,Dominio de Calogia 2021 x3,Dominio de Calogia 2021,3,x3,
250,292,ITEM,CAVA E,,BALDA 1,,,False,Más Doix Salanques 2022 x3,Más Doix Salanques 2022,3,x3,,Más Doix Salanques 2022 x3,I0201,1,1,Más Doix Salanques 2022 x3,Más Doix Salanques 2022,3,x3,
251,293,ITEM,CAVA E,,BALDA 1,,,False,Tempranillo Grano a Grano Abel Mendoza 2022 Rioja x1,Tempranillo Grano a Grano Abel Mendoza 2022 Rioja,1,x1,,Tempranillo Grano a Grano Abel Mendoza 2022 Rioja x1,I0202,1,1,Tempranillo Grano a Grano Abel Mendoza 2022 Rioja x1,Tempranillo Grano a Grano Abel Mendoza 2022 Rioja,1,x1,
252,295,BALDA,CAVA E,,BALDA 2,,,,,,,,,BALDA 2,,,,,,,,
253,296,ITEM,CAVA E,,BALDA 2,,,False,Chambertin Grand Cru 2022 Domaine Rossignol- Trapet x1,Chambertin Grand Cru 2022 Domaine Rossignol- Trapet,1,x1,,Chambertin Grand Cru 2022 Domaine Rossignol- Trapet x1,I0203,1,1,Chambertin Grand Cru 2022 Domaine Rossignol- Trapet x1,Chambertin Grand Cru 2022 Domaine Rossignol- Trapet,1,x1,
254,297,ITEM,CAVA E,,BALDA 2,,,False,Clos de Vougeot Grand Cru 2022 x2,Clos de Vougeot Grand Cru 2022,2,x2,,Clos de Vougeot Grand Cru 2022 x2,I0204,1,1,Clos de Vougeot Grand Cru 2022 x2,Clos de Vougeot Grand Cru 2022,2,x2,
255,298,ITEM,CAVA E,,BALDA 2,,,False,Promontory Napa 2016 x1,Promontory Napa 2016,1,x1,,Promontory Napa 2016 x1 ,I0205,1,1,Promontory Napa 2016 x1,Promontory Napa 2016,1,x1,
256,299,ITEM,CAVA E,,BALDA 2,,,False,Chambolle- Musigny Domaine Comte Georges de Vogue 2022 x1,Chambolle- Musigny Domaine Comte Georges de Vogue 2022,1,x1,,Chambolle- Musigny Domaine Comte Georges de Vogue 2022 x1,I0206,1,1,Chambolle- Musigny Domaine Comte Georges de Vogue 2022 x1,Chambolle- Musigny Domaine Comte Georges de Vogue 2022,1,x1,
257,300,ITEM,CAVA E,,BALDA 2,,,False,Grebrey- Chambertin 2023 Domaine Henri Rebourseau x1,Grebrey- Chambertin 2023 Domaine Henri Rebourseau,1,x1,,Grebrey- Chambertin 2023 Domaine Henri Rebourseau x1 ,I0207,1,1,Grebrey- Chambertin 2023 Domaine Henri Rebourseau x1,Grebrey- Chambertin 2023 Domaine Henri Rebourseau,1,x1,
258,301,ITEM,CAVA E,,BALDA 2,,,False,Echezeaux Grand Cru Philippe Pacatel 2022 x1,Echezeaux Grand Cru Philippe Pacatel 2022,1,x1,,Echezeaux Grand Cru Philippe Pacatel 2022 x1,I0208,1,1,Echezeaux Grand Cru Philippe Pacatel 2022 x1,Echezeaux Grand Cru Philippe Pacatel 2022,1,x1,
259,302,ITEM,CAVA E,,BALDA 2,,,False,Clos- Vougeot Grand Cru 2022 Le Grand Maupertui x1,Clos- Vougeot Grand Cru 2022 Le Grand Maupertui,1,x1,,Clos- Vougeot Grand Cru 2022 Le Grand Maupertui x1 ,I0209,1,1,Clos- Vougeot Grand Cru 2022 Le Grand Maupertui x1,Clos- Vougeot Grand Cru 2022 Le Grand Maupertui,1,x1,
260,303,ITEM,CAVA E,,BALDA 2,,,False,Ata Rangi Pinot Noir 2021 x1,Ata Rangi Pinot Noir 2021,1,x1,,Ata Rangi Pinot Noir 2021 x1,I0210,1,1,Ata Rangi Pinot Noir 2021 x1,Ata Rangi Pinot Noir 2021,1,x1,
261,304,ITEM,CAVA E,,BALDA 2,,,False,Abel Mendoza Graciano grano a grano 2022x1,Abel Mendoza Graciano grano a grano 2022,1,x1,,Abel Mendoza Graciano grano a grano 2022x1,I0211,1,1,Abel Mendoza Graciano grano a grano 2022x1,Abel Mendoza Graciano grano a grano 2022,1,x1,
262,305,ITEM,CAVA E,,BALDA 2,,,False,Mauro cosecha 2023 x5,Mauro cosecha 2023,5,x5,,Mauro cosecha 2023 x5,I0212,1,1,Mauro cosecha 2023 x5,Mauro cosecha 2023,5,x5,
263,306,ITEM,CAVA E,,BALDA 2,,,False,Malabrigo 2022 x1,Malabrigo 2022,1,x1,,Malabrigo 2022 x1,I0213,1,1,Malabrigo 2022 x1,Malabrigo 2022,1,x1,
264,307,ITEM,CAVA E,,BALDA 2,,,False,Corimbo I reserva 2018 x1,Corimbo I reserva 2018,1,x1,,Corimbo I reserva 2018 x1,I0214,1,1,Corimbo I reserva 2018 x1,Corimbo I reserva 2018,1,x1,
265,308,ITEM,CAVA E,,BALDA 2,,,False,San Cucufate 2019 x2,San Cucufate 2019,2,x2,,San Cucufate 2019 x2,I0215,1,1,San Cucufate 2019 x2,San Cucufate 2019,2,x2,
266,309,ITEM,CAVA E,,BALDA 2,,,False,Bodegas Cerrón Matas Altas 2024 Monastrell x1,Bodegas Cerrón Matas Altas 2024 Monastrell,1,x1,,Bodegas Cerrón Matas Altas 2024 Monastrell x1,I0216,1,1,Bodegas Cerrón Matas Altas 2024 Monastrell x1,Bodegas Cerrón Matas Altas 2024 Monastrell,1,x1,
267,310,ITEM,CAVA E,,BALDA 2,,,False,Marqués de Murrieta 2021 x2,Marqués de Murrieta 2021,2,x2,,Marqués de Murrieta 2021 x2,I0217,1,1,Marqués de Murrieta 2021 x2,Marqués de Murrieta 2021,2,x2,
268,312,BALDA,CAVA E,,BALDA 3,,,,,,,,,BALDA 3,,,,,,,,
269,313,ITEM,CAVA E,,BALDA 3,,,False,Numanthia 2020 x4,Numanthia 2020,4,x4,,Numanthia 2020 x4,I0218,1,1,Numanthia 2020 x4,Numanthia 2020,4,x4,
270,314,ITEM,CAVA E,,BALDA 3,,,False,Vinos de Pueblo Polígonos Valle del Uco x1,Vinos de Pueblo Polígonos Valle del Uco,1,x1,,Vinos de Pueblo Polígonos Valle del Uco x1,I0219,1,1,Vinos de Pueblo Polígonos Valle del Uco x1,Vinos de Pueblo Polígonos Valle del Uco,1,x1,
271,315,ITEM,CAVA E,,BALDA 3,,,False,San Román 2022 x2,San Román 2022,2,x2,,San Román 2022 x2,I0220,1,1,San Román 2022 x2,San Román 2022,2,x2,
272,316,ITEM,CAVA E,,BALDA 3,,,False,Massuria 2020 x2,Massuria 2020,2,x2,,Massuria 2020 x2,I0221,1,1,Massuria 2020 x2,Massuria 2020,2,x2,
273,317,ITEM,CAVA E,,BALDA 3,,,False,Rioja Alta 904 2016 x1,Rioja Alta 904 2016,1,x1,,Rioja Alta 904 2016 x1,I0222,1,1,Rioja Alta 904 2016 x1,Rioja Alta 904 2016,1,x1,
274,318,ITEM,CAVA E,,BALDA 3,,,False,La Rioja alta 890 Gran Reserva 1995 x1,La Rioja alta 890 Gran Reserva 1995,1,x1,,La Rioja alta 890 Gran Reserva 1995 x1,I0223,1,1,La Rioja alta 890 Gran Reserva 1995 x1,La Rioja alta 890 Gran Reserva 1995,1,x1,
275,319,ITEM,CAVA E,,BALDA 3,,,False,Dominio de la Bienvenida La fortuna 2022 x1,Dominio de la Bienvenida La fortuna 2022,1,x1,,Dominio de la Bienvenida La fortuna 2022 x1,I0224,1,1,Dominio de la Bienvenida La fortuna 2022 x1,Dominio de la Bienvenida La fortuna 2022,1,x1,
276,320,ITEM,CAVA E,,BALDA 3,,,False,Lothian of Elgin Pinot Noir 2021 South África x2,Lothian of Elgin Pinot Noir 2021 South África,2,x2,,Lothian of Elgin Pinot Noir 2021 South África x2,I0225,1,1,Lothian of Elgin Pinot Noir 2021 South África x2,Lothian of Elgin Pinot Noir 2021 South África,2,x2,
277,321,ITEM,CAVA E,,BALDA 3,,,False,Chateau Belair Monange 2018 Premier Grand Cru Saint Emilion x1,Chateau Belair Monange 2018 Premier Grand Cru Saint Emilion,1,x1,,Chateau Belair Monange 2018 Premier Grand Cru Saint Emilion x1,I0226,1,1,Chateau Belair Monange 2018 Premier Grand Cru Saint Emilion x1,Chateau Belair Monange 2018 Premier Grand Cru Saint Emilion,1,x1,
278,322,ITEM,CAVA E,,BALDA 3,,,False,Chateau La Fleur-Petrus Pomerol 2020 x1,Chateau La Fleur-Petrus Pomerol 2020,1,x1,,Chateau La Fleur-Petrus Pomerol 2020 x1,I0227,1,1,Chateau La Fleur-Petrus Pomerol 2020 x1,Chateau La Fleur-Petrus Pomerol 2020,1,x1,
279,323,ITEM,CAVA E,,BALDA 3,,,False,Chateau Pichon Longueville Comtesse De Lalande 2021 Pauillac x2,Chateau Pichon Longueville Comtesse De Lalande 2021 Pauillac,2,x2,,Chateau Pichon Longueville Comtesse De Lalande 2021 Pauillac x2,I0228,1,1,Chateau Pichon Longueville Comtesse De Lalande 2021 Pauillac x2,Chateau Pichon Longueville Comtesse De Lalande 2021 Pauillac,2,x2,
280,324,ITEM,CAVA E,,BALDA 3,,,False,Les Forts De Latour 2016 Pauillac x1,Les Forts De Latour 2016 Pauillac,1,x1,,Les Forts De Latour 2016 Pauillac x1,I0229,1,1,Les Forts De Latour 2016 Pauillac x1,Les Forts De Latour 2016 Pauillac,1,x1,
281,325,ITEM,CAVA E,,BALDA 3,,,False,Les Terrasses 2022 Priorat x1,Les Terrasses 2022 Priorat,1,x1,,Les Terrasses 2022 Priorat x1,I0230,1,1,Les Terrasses 2022 Priorat x1,Les Terrasses 2022 Priorat,1,x1,
282,326,ITEM,CAVA E,,BALDA 3,,,False,Chateu Les Carmes Haut-Brion 2021 x1,Chateu Les Carmes Haut-Brion 2021,1,x1,,Chateu Les Carmes Haut-Brion 2021 x1,I0231,1,1,Chateu Les Carmes Haut-Brion 2021 x1,Chateu Les Carmes Haut-Brion 2021,1,x1,
283,328,BALDA,CAVA E,,BALDA 5,,,,,,,,,BALDA 5,,,,,,,,
284,330,ITEM,CAVA E,,BALDA 5,,,False,Chateau Catenac Brown 2022 Margaux x3,Chateau Catenac Brown 2022 Margaux,3,x3,,Chateau Catenac Brown 2022 Margaux x3 ,I0232,1,1,Chateau Catenac Brown 2022 Margaux x3,Chateau Catenac Brown 2022 Margaux,3,x3,
285,331,ITEM,CAVA E,,BALDA 5,,,False,Carillon d’ Ángelus Saint Emilion  2022 x3,Carillon d’ Ángelus Saint Emilion  2022,3,x3,,Carillon d’ Ángelus Saint Emilion  2022 x3,I0233,1,1,Carillon d’ Ángelus Saint Emilion  2022 x3,Carillon d’ Ángelus Saint Emilion  2022,3,x3,
286,332,ITEM,CAVA E,,BALDA 5,,,False,Rioja Alta Gran Reserva 904 2001 x2,Rioja Alta Gran Reserva 904 2001,2,x2,,Rioja Alta Gran Reserva 904 2001 x2,I0234,1,1,Rioja Alta Gran Reserva 904 2001 x2,Rioja Alta Gran Reserva 904 2001,2,x2,
287,333,ITEM,CAVA E,,BALDA 5,,,False,Viña Ardanza Reserva 2019 x3,Viña Ardanza Reserva 2019,3,x3,,Viña Ardanza Reserva 2019 x3,I0235,1,1,Viña Ardanza Reserva 2019 x3,Viña Ardanza Reserva 2019,3,x3,
288,334,ITEM,CAVA E,,BALDA 5,,,False,La Forge de Tart 2021 x1,La Forge de Tart 2021,1,x1,,La Forge de Tart 2021 x1,I0236,1,1,La Forge de Tart 2021 x1,La Forge de Tart 2021,1,x1,
289,336,BALDA,CAVA E,,BALDA 6,,,,,,,,,BALDA 6 ,,,,,,,,
290,337,ITEM,CAVA E,,BALDA 6,,,False,1900 Battle of Spioenkop Pinotage 2020 x3,1900 Battle of Spioenkop Pinotage 2020,3,x3,,1900 Battle of Spioenkop Pinotage 2020 x3,I0237,1,1,1900 Battle of Spioenkop Pinotage 2020 x3,1900 Battle of Spioenkop Pinotage 2020,3,x3,
291,338,ITEM,CAVA E,,BALDA 6,,,False,La Nieta 2022 Rioja xq,La Nieta 2022 Rioja xq,,,,La Nieta 2022 Rioja xq,I0238,1,2,La Nieta 2022 Rioja xq Falcoeira a Capilla  Valdeorras 2022 x3,La Nieta 2022 Rioja xq Falcoeira a Capilla  Valdeorras 2022,3,x3,
292,339,ITEM,CAVA E,,BALDA 6,,,False,Falcoeira a Capilla  Valdeorras 2022 x3,Falcoeira a Capilla  Valdeorras 2022,3,x3,,Falcoeira a Capilla  Valdeorras 2022 x3,I0238,2,2,La Nieta 2022 Rioja xq Falcoeira a Capilla  Valdeorras 2022 x3,La Nieta 2022 Rioja xq Falcoeira a Capilla  Valdeorras 2022,3,x3,
293,340,ITEM,CAVA E,,BALDA 6,,,False,Macan Clásico 2021 x3,Macan Clásico 2021,3,x3,,Macan Clásico 2021 x3,I0239,1,1,Macan Clásico 2021 x3,Macan Clásico 2021,3,x3,
294,342,BALDA,CAVA E,,BALDA 7,,,,,,,,,BALDA 7,,,,,,,,
295,343,ITEM,CAVA E,,BALDA 7,,,False,Corimbo I reserva 2018 x1,Corimbo I reserva 2018,1,x1,,Corimbo I reserva 2018 x1 ,I0240,1,1,Corimbo I reserva 2018 x1,Corimbo I reserva 2018,1,x1,
296,344,ITEM,CAVA E,,BALDA 7,,,False,Conde de San Cristóbal 2022 x3,Conde de San Cristóbal 2022,3,x3,,Conde de San Cristóbal 2022 x3,I0241,1,1,Conde de San Cristóbal 2022 x3,Conde de San Cristóbal 2022,3,x3,
297,345,ITEM,CAVA E,,BALDA 7,,,False,Viña Ardanza Reserva 2004 x1,Viña Ardanza Reserva 2004,1,x1,,Viña Ardanza Reserva 2004 x1,I0242,1,1,Viña Ardanza Reserva 2004 x1,Viña Ardanza Reserva 2004,1,x1,
298,346,ITEM,CAVA E,,BALDA 7,,,False,Artadi El Carretil 2022 x1,Artadi El Carretil 2022,1,x1,,Artadi El Carretil 2022 x1,I0243,1,1,Artadi El Carretil 2022 x1,Artadi El Carretil 2022,1,x1,
299,347,ITEM,CAVA E,,BALDA 7,,,False,Hacienda Monasterio Reserva 2020 x1,Hacienda Monasterio Reserva 2020,1,x1,,Hacienda Monasterio Reserva 2020 x1,I0244,1,1,Hacienda Monasterio Reserva 2020 x1,Hacienda Monasterio Reserva 2020,1,x1,
300,348,ITEM,CAVA E,,BALDA 7,,,False,Vosne-Romanee 1er Cru “Les Suchots” 2022 x1,Vosne-Romanee 1er Cru “Les Suchots” 2022,1,x1,,Vosne-Romanee 1er Cru “Les Suchots” 2022 x1,I0245,1,1,Vosne-Romanee 1er Cru “Les Suchots” 2022 x1,Vosne-Romanee 1er Cru “Les Suchots” 2022,1,x1,
301,349,ITEM,CAVA E,,BALDA 7,,,False,Carillon d’ Ángelus Saint -Emilion 2022 x1,Carillon d’ Ángelus Saint -Emilion 2022,1,x1,,Carillon d’ Ángelus Saint -Emilion 2022 x1,I0246,1,1,Carillon d’ Ángelus Saint -Emilion 2022 x1,Carillon d’ Ángelus Saint -Emilion 2022,1,x1,
302,350,ITEM,CAVA E,,BALDA 7,,,False,Contador 2020 x1,Contador 2020,1,x1,,Contador 2020 x1,I0247,1,1,Contador 2020 x1,Contador 2020,1,x1,
303,352,BALDA,CAVA E,,BALDA 8,,,,,,,,,BALDA 8,,,,,,,,
304,353,ITEM,CAVA E,,BALDA 8,,,False,Corullon Vino de Villa 20223x1,Corullon Vino de Villa 20223,1,x1,,Corullon Vino de Villa 20223x1,I0248,1,1,Corullon Vino de Villa 20223x1,Corullon Vino de Villa 20223,1,x1,
305,354,ITEM,CAVA E,,BALDA 8,,,False,Las Lamas Corullon 2022 x,Las Lamas Corullon 2022 x,,,,Las Lamas Corullon 2022 x,I0249,1,2,Las Lamas Corullon 2022 x Les Aubaguetes Belmunt del Priorat Álvaro Palacios 2021 x1,Las Lamas Corullon 2022 x Les Aubaguetes Belmunt del Priorat Álvaro Palacios 2021,1,x1,
306,355,ITEM,CAVA E,,BALDA 8,,,False,Les Aubaguetes Belmunt del Priorat Álvaro Palacios 2021 x1,Les Aubaguetes Belmunt del Priorat Álvaro Palacios 2021,1,x1,,Les Aubaguetes Belmunt del Priorat Álvaro Palacios 2021 x1,I0249,2,2,Las Lamas Corullon 2022 x Les Aubaguetes Belmunt del Priorat Álvaro Palacios 2021 x1,Las Lamas Corullon 2022 x Les Aubaguetes Belmunt del Priorat Álvaro Palacios 2021,1,x1,
307,356,ITEM,CAVA E,,BALDA 8,,,False,Moncerbal Corullon 2020 x1,Moncerbal Corullon 2020,1,x1,,Moncerbal Corullon 2020 x1,I0250,1,1,Moncerbal Corullon 2020 x1,Moncerbal Corullon 2020,1,x1,
308,357,ITEM,CAVA E,,BALDA 8,,,False,Clos Martinet 2022 Priorat x1,Clos Martinet 2022 Priorat,1,x1,,Clos Martinet 2022 Priorat x1,I0251,1,1,Clos Martinet 2022 Priorat x1,Clos Martinet 2022 Priorat,1,x1,
309,358,ITEM,CAVA E,,BALDA 8,,,False,La Baixada Gratallops Priorat 2021 x2,La Baixada Gratallops Priorat 2021,2,x2,,La Baixada Gratallops Priorat 2021 x2,I0252,1,1,La Baixada Gratallops Priorat 2021 x2,La Baixada Gratallops Priorat 2021,2,x2,
310,359,ITEM,CAVA E,,BALDA 8,,,False,L’ Ermita Priorat 2022 x1,L’ Ermita Priorat 2022,1,x1,,L’ Ermita Priorat 2022 x1,I0253,1,1,L’ Ermita Priorat 2022 x1,L’ Ermita Priorat 2022,1,x1,
311,360,ITEM,CAVA E,,BALDA 8,,,False,Macan clásico 2021x1,Macan clásico 2021,1,x1,,Macan clásico 2021x1,I0254,1,1,Macan clásico 2021x1,Macan clásico 2021,1,x1,
312,361,BALDA,CAVA E,,BALDA 9,,,,,,,,,BALDA 9,,,,,,,,
313,362,ITEM,CAVA E,,BALDA 9,,,False,Corimbo I reserva 2018 x3,Corimbo I reserva 2018,3,x3,,Corimbo I reserva 2018 x3,I0255,1,1,Corimbo I reserva 2018 x3,Corimbo I reserva 2018,3,x3,
314,363,ITEM,CAVA E,,BALDA 9,,,False,Roda reserva 2021 x4,Roda reserva 2021,4,x4,,Roda reserva 2021 x4,I0256,1,1,Roda reserva 2021 x4,Roda reserva 2021,4,x4,
315,364,ITEM,CAVA E,,BALDA 9,,,False,Roda I reserva 2020 x3,Roda I reserva 2020,3,x3,,Roda I reserva 2020 x3,I0257,1,1,Roda I reserva 2020 x3,Roda I reserva 2020,3,x3,
316,366,BALDA,CAVA E,,BALDA 10,,,,,,,,,BALDA 10,,,,,,,,
317,367,ITEM,CAVA E,,BALDA 10,,,False,Quinta da Corte Douro 2013 Magnum x1,Quinta da Corte Douro 2013 Magnum,1,x1,,Quinta da Corte Douro 2013 Magnum x1,I0258,1,1,Quinta da Corte Douro 2013 Magnum x1,Quinta da Corte Douro 2013 Magnum,1,x1,
318,368,ITEM,CAVA E,,BALDA 10,,,False,Dominio de Es Soria La Diva 2022 Magnum x1,Dominio de Es Soria La Diva 2022 Magnum,1,x1,,Dominio de Es Soria La Diva 2022 Magnum x1,I0259,1,1,Dominio de Es Soria La Diva 2022 Magnum x1,Dominio de Es Soria La Diva 2022 Magnum,1,x1,
319,369,ITEM,CAVA E,,BALDA 10,,,False,Viña el Pison 2022 Magnum x1,Viña el Pison 2022 Magnum,1,x1,,Viña el Pison 2022 Magnum x1,I0260,1,1,Viña el Pison 2022 Magnum x1,Viña el Pison 2022 Magnum,1,x1,
320,370,ITEM,CAVA E,,BALDA 10,,,False,Ángelus 2018 Magnum x1,Ángelus 2018 Magnum,1,x1,,Ángelus 2018 Magnum x1,I0261,1,1,Ángelus 2018 Magnum x1,Ángelus 2018 Magnum,1,x1,
321,371,ITEM,CAVA E,,BALDA 10,,,False,La Baixada Gratallops 2022 Priorat Magnum x1,La Baixada Gratallops 2022 Priorat Magnum,1,x1,,La Baixada Gratallops 2022 Priorat Magnum x1,I0262,1,1,La Baixada Gratallops 2022 Priorat Magnum x1,La Baixada Gratallops 2022 Priorat Magnum,1,x1,
322,373,CAVA,CAVA F,,,,,,,,,,,CAVA F,,,,,,,,
323,375,BALDA,CAVA F,,BALDA 1,,,,,,,,,BALDA 1,,,,,,,,
324,376,ITEM,CAVA F,,BALDA 1,,,False,Kalamity Rioja 2023 x1,Kalamity Rioja 2023,1,x1,,Kalamity Rioja 2023 x1 ,I0263,1,1,Kalamity Rioja 2023 x1,Kalamity Rioja 2023,1,x1,
325,377,ITEM,CAVA F,,BALDA 1,,,False,Viña Sastre Pesus 2018 x1,Viña Sastre Pesus 2018,1,x1,,Viña Sastre Pesus 2018 x1,I0264,1,1,Viña Sastre Pesus 2018 x1,Viña Sastre Pesus 2018,1,x1,
326,378,ITEM,CAVA F,,BALDA 1,,,False,La Faraona El Ferro Corullon 2022 x1,La Faraona El Ferro Corullon 2022,1,x1,,La Faraona El Ferro Corullon 2022 x1,I0265,1,1,La Faraona El Ferro Corullon 2022 x1,La Faraona El Ferro Corullon 2022,1,x1,
327,379,ITEM,CAVA F,,BALDA 1,,,False,Racines Sta. Rita Hills 2022 x1,Racines Sta. Rita Hills 2022,1,x1,,Racines Sta. Rita Hills 2022 x1,I0266,1,1,Racines Sta. Rita Hills 2022 x1,Racines Sta. Rita Hills 2022,1,x1,
328,380,ITEM,CAVA F,,BALDA 1,,,False,María Remirez de Ganuza x1,María Remirez de Ganuza,1,x1,,María Remirez de Ganuza x1 ,I0267,1,1,María Remirez de Ganuza x1,María Remirez de Ganuza,1,x1,
329,381,ITEM,CAVA F,,BALDA 1,,,False,El Puntido 2022 Rioja x1,El Puntido 2022 Rioja,1,x1,,El Puntido 2022 Rioja x1 ,I0268,1,1,El Puntido 2022 Rioja x1,El Puntido 2022 Rioja,1,x1,
330,382,ITEM,CAVA F,,BALDA 1,,,False,Abadía Retuerta PV 2020 x2,Abadía Retuerta PV 2020,2,x2,,Abadía Retuerta PV 2020 x2,I0269,1,1,Abadía Retuerta PV 2020 x2,Abadía Retuerta PV 2020,2,x2,
331,383,ITEM,CAVA F,,BALDA 1,,,False,Macan 2020 x3,Macan 2020,3,x3,,Macan 2020 x3,I0270,1,1,Macan 2020 x3,Macan 2020,3,x3,
332,384,ITEM,CAVA F,,BALDA 1,,,False,Macan Clásico 2021 x1,Macan Clásico 2021,1,x1,,Macan Clásico 2021 x1,I0271,1,1,Macan Clásico 2021 x1,Macan Clásico 2021,1,x1,
333,385,ITEM,CAVA F,,BALDA 1,,,False,Remelluri Gran Reserva 2016 x4,Remelluri Gran Reserva 2016,4,x4,,Remelluri Gran Reserva 2016 x4,I0272,1,1,Remelluri Gran Reserva 2016 x4,Remelluri Gran Reserva 2016,4,x4,
334,386,ITEM,CAVA F,,BALDA 1,,,False,Viña Coqueta Remirez de Ganuza x2,Viña Coqueta Remirez de Ganuza,2,x2,,Viña Coqueta Remirez de Ganuza x2 ,I0273,1,1,Viña Coqueta Remirez de Ganuza x2,Viña Coqueta Remirez de Ganuza,2,x2,
335,387,ITEM,CAVA F,,BALDA 1,,,False,Bravía Barolo 2020 x1,Bravía Barolo 2020,1,x1,,Bravía Barolo 2020 x1 ,I0274,1,1,Bravía Barolo 2020 x1,Bravía Barolo 2020,1,x1,
336,388,ITEM,CAVA F,,BALDA 1,,,False,Pingus 2022 x2,Pingus 2022,2,x2,,Pingus 2022 x2,I0275,1,1,Pingus 2022 x2,Pingus 2022,2,x2,
337,389,ITEM,CAVA F,,BALDA 1,,,False,Contino Graciano 2020x2,Contino Graciano 2020,2,x2,,Contino Graciano 2020x2,I0276,1,1,Contino Graciano 2020x2,Contino Graciano 2020,2,x2,
338,390,ITEM,CAVA F,,BALDA 1,,,False,Abadía Retuerta Negralada 2019 x1,Abadía Retuerta Negralada 2019,1,x1,,Abadía Retuerta Negralada 2019 x1,I0277,1,1,Abadía Retuerta Negralada 2019 x1,Abadía Retuerta Negralada 2019,1,x1,
339,391,ITEM,CAVA F,,BALDA 1,,,False,Remirez de Ganuza Gran Reserva 2010 x1,Remirez de Ganuza Gran Reserva 2010,1,x1,,Remirez de Ganuza Gran Reserva 2010 x1,I0278,1,1,Remirez de Ganuza Gran Reserva 2010 x1,Remirez de Ganuza Gran Reserva 2010,1,x1,
340,393,BALDA,CAVA F,,BALDA 2,,,,,,,,,BALDA 2,,,,,,,,
341,394,ITEM,CAVA F,,BALDA 2,,,False,Terreus 2023 Vino de la Tierra Castilla y León x2,Terreus 2023 Vino de la Tierra Castilla y León,2,x2,,Terreus 2023 Vino de la Tierra Castilla y León x2,I0279,1,1,Terreus 2023 Vino de la Tierra Castilla y León x2,Terreus 2023 Vino de la Tierra Castilla y León,2,x2,
342,395,ITEM,CAVA F,,BALDA 2,,,False,Abadía Retuerta Pago Valdebellon 2020x1,Abadía Retuerta Pago Valdebellon 2020,1,x1,,Abadía Retuerta Pago Valdebellon 2020x1,I0280,1,1,Abadía Retuerta Pago Valdebellon 2020x1,Abadía Retuerta Pago Valdebellon 2020,1,x1,
343,396,ITEM,CAVA F,,BALDA 2,,,False,Peñas Aladas Gran Reserva 2019,Peñas Aladas Gran Reserva 2019,,,,Peñas Aladas Gran Reserva 2019 ,I0281,1,2,Peñas Aladas Gran Reserva 2019 Torbreck Barossa  2023 The Struie x1,Peñas Aladas Gran Reserva 2019 Torbreck Barossa  2023 The Struie,1,x1,
344,397,ITEM,CAVA F,,BALDA 2,,,False,Torbreck Barossa  2023 The Struie x1,Torbreck Barossa  2023 The Struie,1,x1,,Torbreck Barossa  2023 The Struie x1,I0281,2,2,Peñas Aladas Gran Reserva 2019 Torbreck Barossa  2023 The Struie x1,Peñas Aladas Gran Reserva 2019 Torbreck Barossa  2023 The Struie,1,x1,
345,398,ITEM,CAVA F,,BALDA 2,,,False,Torbreck Barossa Valley 2021 Runrig x1,Torbreck Barossa Valley 2021 Runrig,1,x1,,Torbreck Barossa Valley 2021 Runrig x1,I0282,1,1,Torbreck Barossa Valley 2021 Runrig x1,Torbreck Barossa Valley 2021 Runrig,1,x1,
346,399,ITEM,CAVA F,,BALDA 2,,,False,Dominio de Es Carravilla 2022 x1,Dominio de Es Carravilla 2022,1,x1,,Dominio de Es Carravilla 2022 x1,I0283,1,1,Dominio de Es Carravilla 2022 x1,Dominio de Es Carravilla 2022,1,x1,
347,400,ITEM,CAVA F,,BALDA 2,,,False,Chateau Pichon Barón 2021 Pauillac x1,Chateau Pichon Barón 2021 Pauillac,1,x1,,Chateau Pichon Barón 2021 Pauillac x1,I0284,1,1,Chateau Pichon Barón 2021 Pauillac x1,Chateau Pichon Barón 2021 Pauillac,1,x1,
348,401,ITEM,CAVA F,,BALDA 2,,,False,Contino Reserva cosecha 2021 x 2,Contino Reserva cosecha 2021,2,x2,,Contino Reserva cosecha 2021 x 2,I0285,1,1,Contino Reserva cosecha 2021 x 2,Contino Reserva cosecha 2021,2,x2,
