orden,excel_row,tipo,cava,area,balda,linea,sublinea,es_checklist,entrada_sin_checkbox,vino_sin_cantidad,cantidad,cantidad_raw,nota_post_cantidad,texto_excel,item_id,item_part,item_total_parts,item_entrada_completa,item_vino_sin_cantidad_completo,item_cantidad,item_cantidad_raw,item_nota_post_cantidad
21,25,ITEM,CAVA A,,BALDA 4,,,False,Oremus Furmint 2024 Mandolas x3,Oremus Furmint 2024 Mandolas,3,x3,,Oremus Furmint 2024 Mandolas x3,I0015,1,1,Oremus Furmint 2024 Mandolas x3,Oremus Furmint 2024 Mandolas,3,x3,
22,27,BALDA,CAVA A,,BALDA 5,,,,,,,,,BALDA 5,,,,,,,,
23,28,ITEM,CAVA A,,BALDA 5,,,False,GreyWacke Sauvignon Blanc 2023 N. Zeland x3,GreyWacke Sauvignon Blanc 2023 N. Zeland,3,x3,,GreyWacke Sauvignon Blanc 2023 N. Zeland x3,I0016,1,1,GreyWacke Sauvignon Blanc 2023 N. Zeland x3,GreyWacke Sauvignon Blanc 2023 N. Zeland,3,x3,
24,29,ITEM,CAVA A,,BALDA 5,,,False,Racines Sta. Rita Hills Bentrock Vineyard 2022 x2,Racines Sta. Rita Hills Bentrock Vineyard 2022,2,x2,,Racines Sta. Rita Hills Bentrock Vineyard 2022 x2,I0017,1,1,Racines Sta. Rita Hills Bentrock Vineyard 2022 x2,Racines Sta. Rita Hills Bentrock Vineyard 2022,2,x2,
25,30,ITEM,CAVA A,,BALDA 5,,,False,Methode Ancienne 2020 Chardonnay Sout África x5,Methode Ancienne 2020 Chardonnay Sout África,5,x5,,Methode Ancienne 2020 Chardonnay Sout África x5,I0018,1,1,Methode Ancienne 2020 Chardonnay Sout África x5,Methode Ancienne 2020 Chardonnay Sout África,5,x5,
26,32,BALDA,CAVA A,,BALDA 6,,,,,,,,,BALDA 6 ,,,,,,,,
27,33,ITEM,CAVA A,,BALDA 6,,,False,Tara Atacama 2022 Chile x3,Tara Atacama 2022 Chile,3,x3,,Tara Atacama 2022 Chile x3,I0019,1,1,Tara Atacama 2022 Chile x3,Tara Atacama 2022 Chile,3,x3,
28,34,ITEM,CAVA A,,BALDA 6,,,False,Rascara 2019 Brut Nature Bufadors Corpinat x2,Rascara 2019 Brut Nature Bufadors Corpinat,2,x2,,Rascara 2019 Brut Nature Bufadors Corpinat x2,I0020,1,1,Rascara 2019 Brut Nature Bufadors Corpinat x2,Rascara 2019 Brut Nature Bufadors Corpinat,2,x2,
29,35,ITEM,CAVA A,,BALDA 6,,,False,As Sortes 2024 x4,As Sortes 2024,4,x4,,As Sortes 2024 x4,I0021,1,1,As Sortes 2024 x4,As Sortes 2024,4,x4,
30,37,BALDA,CAVA A,,BALDA 7,,,,,,,,,BALDA 7 ,,,,,,,,
31,38,ITEM,CAVA A,,BALDA 7,,,False,Mestres Visol Cava x5,Mestres Visol Cava,5,x5,,Mestres Visol Cava x5,I0022,1,1,Mestres Visol Cava x5,Mestres Visol Cava,5,x5,
32,39,ITEM,CAVA A,,BALDA 7,,,False,Hure Freres Invitation Champagne x3,Hure Freres Invitation Champagne,3,x3,,Hure Freres Invitation Champagne x3,I0023,1,1,Hure Freres Invitation Champagne x3,Hure Freres Invitation Champagne,3,x3,
33,41,BALDA,CAVA A,,BALDA 8,,,,,,,,,BALDA 8,,,,,,,,
34,42,ITEM,CAVA A,,BALDA 8,,,False,Mestres 2013 Cava Clos Damiana x3,Mestres 2013 Cava Clos Damiana,3,x3,,Mestres 2013 Cava Clos Damiana x3,I0024,1,1,Mestres 2013 Cava Clos Damiana x3,Mestres 2013 Cava Clos Damiana,3,x3,
35,43,ITEM,CAVA A,,BALDA 8,,,False,Pazo Barrantes 2022 x1,Pazo Barrantes 2022,1,x1,,Pazo Barrantes 2022 x1,I0025,1,1,Pazo Barrantes 2022 x1,Pazo Barrantes 2022,1,x1,
36,44,ITEM,CAVA A,,BALDA 8,,,False,Juve&Camps  Cava Finca Can Rius x1,Juve&Camps  Cava Finca Can Rius,1,x1,,Juve&Camps  Cava Finca Can Rius x1,I0026,1,1,Juve&Camps  Cava Finca Can Rius x1,Juve&Camps  Cava Finca Can Rius,1,x1,
37,45,ITEM,CAVA A,,BALDA 8,,,False,Gramona III Lustros Font De Jui 2017 x1,Gramona III Lustros Font De Jui 2017,1,x1,,Gramona III Lustros Font De Jui 2017 x1,I0027,1,1,Gramona III Lustros Font De Jui 2017 x1,Gramona III Lustros Font De Jui 2017,1,x1,
38,46,ITEM,CAVA A,,BALDA 8,,,False,Gramona Celler Battle 2015 Corpinat x2,Gramona Celler Battle 2015 Corpinat,2,x2,,Gramona Celler Battle 2015 Corpinat x2,I0028,1,1,Gramona Celler Battle 2015 Corpinat x2,Gramona Celler Battle 2015 Corpinat,2,x2,
39,48,BALDA,CAVA A,,BALDA 9,,,,,,,,,BALDA 9,,,,,,,,
40,49,ITEM,CAVA A,,BALDA 9,,,False,Ruinart Blanc de Blancs x9,Ruinart Blanc de Blancs,9,x9,,Ruinart Blanc de Blancs x9,I0029,1,1,Ruinart Blanc de Blancs x9,Ruinart Blanc de Blancs,9,x9,
