"nome","anada","bodega","tipo","pod"
"Château Pontet-Canet","2018","Château Pontet-Canet","Tinto","POD008773"
"Château Rauzan-Ségla","2010","Château Rauzan-Ségla","Tinto","POD010931"
"Château Rauzan-Ségla","2016","Château Rauzan-Ségla","Tinto","POD010932"
"Château Rauzan-Ségla","2022","Château Rauzan-Ségla","Tinto","POD017974"
"Château Rocheyron","2021","Château Rocheyron","Tinto","POD012352"
"Château Rocheyron","2020","Château Rocheyron","Tinto","POD009932"
"Château Smith Haut Lafite","2009","Château Smith Haut Lafite","Tinto","POD016919"
"Château Smith Haut Lafite","2022","Château Smith Haut Lafite","Tinto","POD017980"
"Château Talbot","2019","Château Talbot","Tinto","POD016284"
"Château Troplong Mondot","2022","Château Troplong Mondot","Tinto","POD017978"
"Château Trotanoy","2021","Château Trotanoy","Tinto","POD016850"
"Château Valandraud","2019","Château Valandraud","Tinto","POD016378"
"Château Angélus","2010","Château Angélus","Tinto","POD004213"
"Château Angélus","2017","Château Angélus","Tinto","POD008405"
"Château Ausone","2017","Château Ausone","Tinto","POD008401"
"Château Belair-Monange","2017","Château Belair-Monange","Tinto","POD008511"
"Château Belair-Monange","2018","Château Belair-Monange","Tinto","POD008780"
"Château Cheval Blanc","2014","Château Cheval Blanc","Tinto","POD004220"
"Château Cheval Blanc","2015","Château Cheval Blanc","Tinto","POD006618"
"Château Cheval Blanc","2017","Château Cheval Blanc","Tinto","POD008400"
"Château Cheval Blanc","2018","Château Cheval Blanc","Tinto","POD008654"
"Château Cheval Blanc","2019","Château Cheval Blanc","Tinto","POD_TEMP_1048"
"Château Cheval Blanc","1998","Château Cheval Blanc","Tinto","POD016515"
"Château Haut-Brion","2009","Château Haut-Brion","Tinto","POD006645"
"Château Haut-Brion","2018","Château Haut-Brion","Tinto","POD008582"
"Château La Conseillante","2018","Château La Conseillante","Tinto","POD008748"
"Château Lafite-Rothschild","2012","Château Lafite-Rothschild","Tinto","POD011132"
"Château Latour","1996","Château Latour","Tinto","POD009345"
"Château Latour","1999","Château Latour","Tinto","POD009344"
"Château Margaux","2015","Château Margaux","Tinto","POD006614"
"Château Margaux","2016","Château Margaux","Tinto","POD016293"
"Château Margaux","2017","Château Margaux","Tinto","POD008402"
"Château Mouton-Rothschild","2009","Château Mouton-Rothschild","Tinto","POD006647"
"Château Mouton-Rothschild","2010","Château Mouton-Rothschild","Tinto","POD006648"
"Château Mouton-Rothschild","2015","Château Mouton-Rothschild","Tinto","POD004263"
"Château Mouton-Rothschild","2017","Château Mouton-Rothschild","Tinto","POD008399"
"Château Palmer","2016","Château Palmer","Tinto","POD008154"
"Château Palmer","2017","Château Palmer","Tinto","POD008382"
"Château Pavie","2014","Château Pavie","Tinto","POD013849"
"Château Pavie","2017","Château Pavie","Tinto","POD013850"
"Château Pavie","2018","Château Pavie","Tinto","POD013851"
"Château Pavie","2020","Château Pavie","Tinto","POD_TEMP_1049"
"Château Pavie","2021","Château Pavie","Tinto","POD_TEMP_1050"
"Château Potensac","2022","Château Potensac","Tinto","POD017952"
"Château Trotanoy","2016","Château Trotanoy","Tinto","POD007939"
